"filename", "language", "XML", "C#", "Docker", "JSON", "Markdown", "PowerShell", "Razor", "CSS", "SCSS", "JavaScript", "YAML", "HTML", "comment", "blank", "total"
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Views\Auth\SignUp.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 3, 47
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Views\Basket\Index.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 334, 0, 0, 0, 0, 0, 0, 31, 365
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Views\Courses\Create.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 10, 163
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Views\Courses\Index.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 4, 158
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Views\Courses\Update.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 7, 116
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Views\Home\Detail.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 17, 138
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Views\Home\Index.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 664, 0, 0, 0, 0, 0, 0, 8, 672
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Views\Home\Privacy.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Views\Order\Checkout.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 298, 0, 0, 0, 0, 0, 0, 17, 315
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Views\Order\CheckoutHistory.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 203, 0, 0, 0, 0, 0, 0, 17, 220
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Views\Order\SuccessfullCheckout.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 5, 83
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Views\Shared\Error.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Views\Shared\_Layout.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 794, 0, 0, 0, 0, 0, 2, 109, 905
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Views\Shared\_Layout.cshtml.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 2, 9, 49
